gp_code,gp_name,assigned_block_name,assigned_block_lgd,district_name,state_name
186562,TAKALI BHIMA,SHIRUR,4523,Pune,MAHARASHTRA
185683,TAKLI,DAUND,4514,Pune,MAHARASHTRA
185687,VADGAONBANDE,DAUND,4514,Pune,MAHARASHTRA
185669,PANVALI,DAUND,4514,Pune,MAHARASHTRA
186544,PARODI,SHIRUR,4523,Pune,MAHARASHTRA
186540,NIMGAON MHALUNGE,SHIRUR,4523,Pune,MAHARASHTRA
186525,KHANDALE,SHIRUR,4523,Pune,MAHARASHTRA
186516,KARANJAVANE,SHIRUR,4523,Pune,MAHARASHTRA
186497,DAHIWADI,SHIRUR,4523,Pune,MAHARASHTRA
186491,BHAMBARDE,SHIRUR,4523,Pune,MAHARASHTRA
186567,URALGAON,SHIRUR,4523,Pune,MAHARASHTRA
186483,ALEGAONPAGA,SHIRUR,4523,Pune,MAHARASHTRA
185688,VALKI,DAUND,4514,Pune,MAHARASHTRA
185652,KOREGAON BHIVAR,DAUND,4514,Pune,MAHARASHTRA
185685,TELEWADI,DAUND,4514,Pune,MAHARASHTRA
185672,PATETHAN,DAUND,4514,Pune,MAHARASHTRA
185674,PILANWADI,DAUND,4514,Pune,MAHARASHTRA
185676,RAHU,DAUND,4514,Pune,MAHARASHTRA
185646,KHAMGAON,DAUND,4514,Pune,MAHARASHTRA
185686,UNDAWADI,DAUND,4514,Pune,MAHARASHTRA
185675,PIMPALGAON,DAUND,4514,Pune,MAHARASHTRA
185627,DELAWADI,DAUND,4514,Pune,MAHARASHTRA
185632,GALANDWADI,DAUND,4514,Pune,MAHARASHTRA
185648,KHOPODI,DAUND,4514,Pune,MAHARASHTRA
185670,PARGAON,DAUND,4514,Pune,MAHARASHTRA
186551,RANJANGAON SANDAS,SHIRUR,4523,Pune,MAHARASHTRA
186536,NAGARGAON,SHIRUR,4523,Pune,MAHARASHTRA
186487,ANDHALGAON,SHIRUR,4523,Pune,MAHARASHTRA
186530,KURULI,SHIRUR,4523,Pune,MAHARASHTRA
186527,KOLGOAN DOLAS,SHIRUR,4523,Pune,MAHARASHTRA
186570,WADGAON RASAI,SHIRUR,4523,Pune,MAHARASHTRA
185663,NANGAON,DAUND,4514,Pune,MAHARASHTRA
185626,DAPODI,DAUND,4514,Pune,MAHARASHTRA
185636,HATVALAN,DAUND,4514,Pune,MAHARASHTRA
186553,SADALGAON,SHIRUR,4523,Pune,MAHARASHTRA
186532,MANDAVGAN PHARATA,SHIRUR,4523,Pune,MAHARASHTRA
185641,KANGAON,DAUND,4514,Pune,MAHARASHTRA
186489,BABHULSAR BK.,SHIRUR,4523,Pune,MAHARASHTRA
186504,GANEGAON DUMALA,SHIRUR,4523,Pune,MAHARASHTRA
186565,TANDALI,SHIRUR,4523,Pune,MAHARASHTRA
186509,INAMGOAN,SHIRUR,4523,Pune,MAHARASHTRA
186547,PIMPALSUTI,SHIRUR,4523,Pune,MAHARASHTRA
186559,SHIRASGAON KATA,SHIRUR,4523,Pune,MAHARASHTRA
186495,CHINCHANI,SHIRUR,4523,Pune,MAHARASHTRA
186558,SHINDODI,SHIRUR,4523,Pune,MAHARASHTRA
186534,MOTEWADI,SHIRUR,4523,Pune,MAHARASHTRA
186541,NIMONE,SHIRUR,4523,Pune,MAHARASHTRA
186507,GUNAT,SHIRUR,4523,Pune,MAHARASHTRA
186542,NIRVI,SHIRUR,4523,Pune,MAHARASHTRA
186537,NHAVARE,SHIRUR,4523,Pune,MAHARASHTRA
186484,AMBALE,SHIRUR,4523,Pune,MAHARASHTRA
186494,CHAVHANWADI,SHIRUR,4523,Pune,MAHARASHTRA
186517,KARDE,SHIRUR,4523,Pune,MAHARASHTRA
