gp_code,gp_name,dist_to_coast_km,dist_to_water_km
185585,SHILIMB,61.29,22.58
185529,KUMBALE,59.54,27.99
185480,BHUTONDE,62.83,27.25
185494,GUHINI,60.38,30.98
186617,METPILAWARE,59.65,34.14
186638,WELHE BK.,59.97,36.95
186637,WELHE KH.,62.21,36.35
186594,HIRPODI,62.24,37.73
186602,KHARIV,63.55,35.49
186642,WAJEGHAR,63.63,33.67
186624,PAL BK.,62.18,32.99
186611,LAVHI BK.,65.42,32.71
186616,MERAVANE,66.98,32.35
186585,CHIRMODI,68.84,31.12
186581,ASNI MANJAI,69.75,29.79
186628,SAKHAR,68.09,33.01
186639,VINZHAR,69.46,35.74
186610,LASHIRGAON,66.76,36.25
186612,MALAVALI,67.6,35.43
186644,WANJALE,65.22,34.76
186587,DAPODE,65.34,37.36
186625,RANJANE,66.06,39.7
185728,KHAMGAON MAVAL,69.14,40.43
186606,KONDGAON,67.64,41.06
186601,KHAMGAON,65.36,41.41
186626,RULE,62.63,43.98
186577,AMBED,64.99,42.26
186623,PABE,62.77,39.29
186586,DHANEP,59.67,39.55
185700,AMBI,60.77,43.63
186608,KURAN BK.,60.7,47.99
185771,SONAPUR,64.55,45.28
186620,NIGADE MOSE,66.06,43.76
186622,OSADE,65.66,44.77
185723,JAMBHALI,62.9,47.18
186325,DAVAJE,64.45,45.49
185765,SANGRUN,66.04,44.64
185704,BAHULI,64.88,44.02
186344,KONDHUR,61.71,47.34
,,62.62,45.39
,,63.96,43.93
186301,AMBEGAON,63.63,43.37
186355,MARNEWADI,65.11,41.93
186384,URAWADE,66.84,40.73
186316,BOTARWADI,67.82,40.29
,,64.67,43.81
185696,AHIRE,69.59,39.27
186371,PIRANGUT,70.16,37.4
186314,BHUKUM,72.53,35.73
,,72.17,37.27
185737,KUDAJE,72.25,38.67
185695,AGALAMBE,71.09,40.54
185695,AGALAMBE,69.2,40.69
185743,MANDAVI BK.,67.76,43.02
237300,KHADAKWADI,69.79,41.17
185744,MANDAVI KH.,69.09,42.24
185742,MALKHED,68.26,43.89
185787,VARDADE,67.63,43.62
185745,MANERWADI,70.39,42.61
185730,KHANAPUR,71.23,41.65
185719,GORHE KH.,71.65,40.65
185714,DONJE,76.2,38.68
185727,KHADAKWASALA,76.03,36.18
185718,GORHE BK.,74.56,38.02
185752,KOPRE,74.36,36.44
185735,KONDHWE DHAVADE,74.92,34.67
,,77.9,32.18
,,79.82,30.08
185748,NANDED,78.02,33.18
185732,KIRKATWADI,78.45,34.07
185750,NARHE,82.11,31.4
,,80.45,30.98
,,82.66,27.8
,,83.3,28.13
,,85.3,27.95
,,83.66,29.77
237299,JAMBHULWADI / KOLEWADI,83.01,32.78
,,83.46,31.51
,,80.35,33.13
185749,NANDOSHI,78.79,36.41
185583,SASEWADI,82.34,36.72
185733,KOLVADI SASHTE,81.91,34.81
185715,GAUDDARA,81.08,38.95
,,81.98,39.62
,,83.0,39.0
185524,KHOPI,80.96,35.84
,,81.6,38.04
185532,KUSAGAON,79.1,36.97
,,77.72,39.57
185571,RANJE,79.64,39.03
185701,ARVI,79.0,39.23
185734,KONDHANPUR,76.37,40.04
185716,GHERASINHAGAD,72.89,42.17
185725,KALYAN,73.11,38.43
295550,WANGANIWADI,74.81,35.96
185762,RAHATVADE,76.8,38.05
186619,NIGADE BK.,76.37,33.5
186613,MANGDARI,74.74,33.07
186599,KATVADI,73.27,34.67
186605,KOLWADI,71.97,35.33
186615,MARGASANI,71.76,32.11
186603,KODAVADI,72.26,29.65
186635,SURUVAD,73.53,29.24
186640,WADGAON ZANJE,74.36,29.12
186633,SONDE MATHANA,75.31,29.27
186598,KARANJAVANE,74.66,31.19
186576,AMBAVANE GROUP,76.62,30.76
186632,SONDE KARLA,75.92,28.7
185581,SANGAVI BK.,78.13,30.02
185526,KOLAVADI,79.54,29.94
185592,SONAVADI,78.47,31.4
185565,PARWADI,78.46,33.6
186584,BORAVALE GROUP,77.31,33.78
185530,KURUNGVADI,80.21,32.35
185509,KANJALE,82.42,34.23
185575,SALAVADE,82.87,32.12
185503,JAMBHALI,81.4,30.28
185605,VIRWADI,82.89,29.37
185536,MALEGAON,84.11,29.64
185550,NASRAPUR,85.34,30.27
185552,NAYGAON,86.04,32.89
185520,KELAWADE,84.75,32.67
185600,VARVE BK.,83.98,34.83
,,88.22,36.63
185484,DEGAON,87.11,32.88
186424,KETKAVALE,91.59,31.89
186405,CHILHEWADI*,93.84,35.35
186460,PURPOKHAR,95.09,37.79
186408,DEWADI,91.83,35.16
185515,KARANDI KHEBA,89.26,34.39
186470,SOMURDI,91.69,37.8
186428,KODIT BK.,94.85,35.44
186429,KODIT KH.,95.77,33.09
186413,GARDE,90.6,35.11
186474,THAPEWADI,87.58,36.84
185601,VARVE KH.,85.92,36.87
185591,SHIVARE,84.22,37.42
185519,KASURDI K. B,84.92,38.33
185602,VELU,84.28,37.13
185717,GOGALWADI,85.86,34.6
185587,SHINDEWADI,84.11,35.1
186400,BHIVARI,90.68,31.48
186396,ASKARWADI,88.71,31.45
185780,VADACHIWADI,90.83,28.6
185760,PISOLI,90.0,27.65
,,88.44,29.63
185720,GUJAR-NIMBALKARWADI,86.7,31.01
185708,BHILAREWADI,85.35,32.79
185745,MANERWADI,85.42,31.07
,,85.89,29.33
,,88.41,27.67
,,89.56,25.34
,,92.16,23.86
,,91.33,26.06
237301,OUTADE-HANDEWADI,92.68,26.01
,,94.48,20.6
185766,SHEWALWADI,98.35,19.23
,,98.13,20.35
,,95.28,23.66
185722,HOLKARWADI,93.76,26.48
186402,BOPGAON,94.15,30.01
186404,CHAMBALI,96.24,30.41
186411,DIVE,100.81,26.61
186482,ZENDEWADI,101.0,24.46
185783,VADAKI,97.67,24.7
185724,KADAMWAKVASTI,102.09,17.13
185740,LONIKALBHOR,103.04,19.76
185738,KUJIREWADI,106.99,15.5
185772,SORTAPWADI,110.1,14.33
185697,ALANDI MHATOBA,107.25,18.56
185773,TARDE,109.77,17.44
,,105.64,21.45
186471,SONORI,104.5,25.36
186477,VANPURI,105.96,26.63
186416,GURHOLI,108.51,22.67
186476,UDACHIWADI,107.74,25.59
186432,KUMBHARVALAN,105.52,29.09
186412,YEKHATPUR,107.15,28.96
,,107.85,29.25
186425,KHALAD,105.81,31.94
186403,BORALEWADI,103.3,33.43
186395,AMBODI,103.59,29.05
,,101.24,31.33
186419,HIVARE,98.36,30.6
186399,BHIWADI,97.31,35.35
186472,SUPE KH.,99.79,35.35
186414,GHERA PU.*,96.14,35.92
186397,BAHIRWADI*,96.56,35.3
186449,PANWADI,100.08,37.05
186448,PANGARE,103.4,38.28
186453,PIMPALE,102.44,35.2
186468,SHIVARI,107.19,34.84
186427,KHENGAREWADI,106.39,38.58
,,102.15,34.0
186418,HARGUDE,104.65,35.68
